Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1005,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck,2.2169651687597449,.8679673733043074,10,.12126410321528197,-0.552008885,GDSC1
Cisplatin,1005,BB49-HNC,753532,HNSC,aero_digestive_tract,head_and_neck,4.0216132875495703,.94235121143180223,10,.040987906619320433,1.0378913580313798,GDSC1
Cisplatin,1005,BHY,753535,HNSC,aero_digestive_tract,head_and_neck,2.4403534466566952,.89269356943172551,10,.094500032825874256,-0.355203162,GDSC1
Cisplatin,1005,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck,2.1404588331468513,.87365264207906268,10,.061033001479305689,-0.619411189,GDSC1
Cisplatin,1005,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck,2.2694544540936739,.8730834193766901,10,.1261636676742923,-0.505765672,GDSC1
Cisplatin,1005,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck,2.8553930647984349,.93448433774199668,10,.089918635378389622,.010447949045438942,GDSC1
Cisplatin,1005,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck,3.0637870214417431,.94449664579413328,10,.079160056083675601,.19404363110330305,GDSC1
Cisplatin,1005,KOSC-2,753570,HNSC,aero_digestive_tract,head_and_neck,1.2580194171188912,.74173578979452492,10,.15231313337300229,-1.396842882,GDSC1
Cisplatin,1005,LB771-HNC,753583,HNSC,aero_digestive_tract,head_and_neck,2.7278088972476287,.88723728723258821,10,.211056264479906,-0.101954074,GDSC1
Cisplatin,1005,Detroit562,906837,HNSC,aero_digestive_tract,head_and_neck,3.1153020349156555,.94066998512486277,10,.036538136390225594,.23942850784016265,GDSC1
Cisplatin,1005,FADU,906863,HNSC,aero_digestive_tract,head_and_neck,2.3216792890875211,.88114911058165113,10,.11061968473350733,-0.45975544,GDSC1
Cisplatin,1005,HSC-3,907061,HNSC,aero_digestive_tract,head_and_neck,1.9895643593782641,.86969031332321656,10,.11107697439476862,-0.752349659,GDSC1
Cisplatin,1005,HSC-4,907062,HNSC,aero_digestive_tract,head_and_neck,.57359774994366675,.64477384675300986,10,.12423854603156814,-1.999820361,GDSC1
Cisplatin,1005,SAS,909708,HNSC,aero_digestive_tract,head_and_neck,1.7650769089001201,.81271164108409222,10,.20738084941589788,-0.950123756,GDSC1
Cisplatin,1005,SCC-9,909709,HNSC,aero_digestive_tract,head_and_neck,3.4891447216513813,.91605005955664809,10,.071972738613189174,.5687850024292489,GDSC1
Cisplatin,1005,SCC-25,910701,HNSC,aero_digestive_tract,head_and_neck,3.6094894116860887,.95023499246266185,10,.046451244921010687,.6748090244539483,GDSC1
Cisplatin,1005,SCC-4,910904,HNSC,aero_digestive_tract,head_and_neck,2.92876526326486,.90343310998583237,10,.084472738678532014,.075089069347143461,GDSC1
Cisplatin,1005,SCC-15,910911,HNSC,aero_digestive_tract,head_and_neck,3.2956359320601751,.9144300767011837,10,.12849722980702033,.39830319584788687,GDSC1
Cisplatin,1005,CAL-27,910916,HNSC,aero_digestive_tract,head_and_neck,1.8547486809426545,.83325019103063025,10,.091895253781938649,-0.871122664,GDSC1
Cisplatin,1005,DOK,910936,HNSC,aero_digestive_tract,head_and_neck,2.9979999470532515,.87809826408199609,10,.096463324685409177,.13608502718073381,GDSC1
Cisplatin,1005,HO-1-N-1,924111,HNSC,aero_digestive_tract,head_and_neck,2.4405910877948416,.89948674459657152,10,.11268814916530312,-0.354993799,GDSC1
Cisplatin,1005,BICR22,1240121,HNSC,aero_digestive_tract,head_and_neck,1.5244377733308268,.78013520285108684,10,.14031273564945276,-1.162127535,GDSC1
Cisplatin,1005,BICR78,1240122,HNSC,aero_digestive_tract,head_and_neck,1.8247915143267621,.80742875152551896,10,.10422495311521025,-0.897515015,GDSC1
Cisplatin,1005,JHU-011,1240161,HNSC,aero_digestive_tract,head_and_neck,1.5771947644205371,.8058651103497626,10,.10656799909499522,-1.115648472,GDSC1
Cisplatin,1005,JHU-022,1240162,HNSC,aero_digestive_tract,head_and_neck,2.756432648593651,.87953508778882683,10,.071495623815750337,-0.076736466,GDSC1
Cisplatin,1005,OSC-20,1240196,HNSC,aero_digestive_tract,head_and_neck,4.2328655414048928,.96246504927237919,10,.059073076221525661,1.2240052082483237,GDSC1
Cisplatin,1005,PCI-15A,1240204,HNSC,aero_digestive_tract,head_and_neck,4.7747993130766977,.98713075020998464,10,.031067364751081634,1.7014504376729784,GDSC1
Cisplatin,1005,PCI-38,1240205,HNSC,aero_digestive_tract,head_and_neck,2.2528708062109555,.86692066539596735,10,.12527234854099684,-0.520375914,GDSC1
Cisplatin,1005,PCI-6A,1240206,HNSC,aero_digestive_tract,head_and_neck,.57712960973534899,.66622573386218287,10,.065094707196203361,-1.996708783,GDSC1
Cisplatin,1005,PE-CA-PJ15,1240207,HNSC,aero_digestive_tract,head_and_neck,3.4086261313392239,.94253437984776678,10,.17523123486987444,.49784789012132841,GDSC1
Cisplatin,1005,BICR10,1290724,HNSC,aero_digestive_tract,head_and_neck,2.6192057645117695,.89017294034912076,10,.08449508628609434,-0.19763375,GDSC1
Cisplatin,1005,JHU-029,1298156,HNSC,aero_digestive_tract,head_and_neck,1.2454160145594457,.7354930580472937,10,.081269048990786116,-1.407946516,GDSC1
Cisplatin,1005,KON,1298215,HNSC,aero_digestive_tract,head_and_neck,2.5413367774255482,.90597389383111082,10,.11884764210216217,-0.266236554,GDSC1
Cisplatin,1005,OSC-19,1298362,HNSC,aero_digestive_tract,head_and_neck,4.8945944653762883,.98634511175898298,10,.028191763037483095,1.8069903153543367,GDSC1
Cisplatin,1005,PCI-30,1298529,HNSC,aero_digestive_tract,head_and_neck,2.5030558559974212,.8632379118499629,10,.094424205471833236,-0.299962157,GDSC1
Cisplatin,1005,PCI-4B,1298531,HNSC,aero_digestive_tract,head_and_neck,1.2711085056966158,.76473098522474525,10,.05378277536744596,-1.385311356,GDSC1
Cisplatin,1005,SAT,1299050,HNSC,aero_digestive_tract,head_and_neck,2.2559262408566498,.82125910080474296,10,.035836611731771474,-0.517684067,GDSC1
Cisplatin,1005,SCC90,1299052,HNSC,aero_digestive_tract,head_and_neck,2.8746322952062577,.87310027493333031,10,.076765137028233427,.027397767005076287,GDSC1
Cisplatin,1005,SKN-3,1299059,HNSC,aero_digestive_tract,head_and_neck,1.7012110495723003,.79484124989623783,10,.12507721866742913,-1.006389764,GDSC1
,,,,,,,,,,,,
Cisplatin,1496,BB30-HNC,753531,HNSC,aero_digestive_tract,head_and_neck,.35633255685954818,.79747452978917188,3,.059166002670679195,-1.27329333,GDSC1
Cisplatin,1496,BB49-HNC,753532,HNSC,aero_digestive_tract,head_and_neck,.71172685362667509,.80068881772111422,3,.080154338690823015,-0.983194759,GDSC1
Cisplatin,1496,BHY,753535,HNSC,aero_digestive_tract,head_and_neck,1.3323964948825313,.90047087173107343,3,.043356074216295788,-0.476559234,GDSC1
Cisplatin,1496,Ca9-22,753538,HNSC,aero_digestive_tract,head_and_neck,.58325436752893534,.83602840529670841,3,.11753367233224303,-1.088063309,GDSC1
Cisplatin,1496,CAL-33,753541,HNSC,aero_digestive_tract,head_and_neck,1.1760714963065806,.88286965811941398,3,.085528143217356023,-0.604163023,GDSC1
Cisplatin,1496,HO-1-u-1,753561,HNSC,aero_digestive_tract,head_and_neck,3.2206945112382561,.98734902176626504,3,.04156185634677699,1.0648064034288869,GDSC1
Cisplatin,1496,HSC-2,753562,HNSC,aero_digestive_tract,head_and_neck,.86208166375755158,.86777874779158948,3,.10982328408232353,-0.860464271,GDSC1
